trade_date,close_price,portfolio_value_DQN_Advanced,portfolio_value_TA_RSI,portfolio_value_TA_MACD,portfolio_value_TA_SMA_Crossover,portfolio_value_TA_Stochastic,portfolio_value_TA_All_Signals,portfolio_value_Buy_and_Hold,pnl_DQN_Advanced
2022-10-14,138.380005,138.380005,138.380005,138.380005,138.380005,138.380005,138.380005,138.380005,0.0
2022-10-17,142.410004,138.380005,138.380005,138.380005,138.380005,138.380005,138.380005,142.410004,0.0
2022-10-18,143.75,139.6820810337875,138.380005,139.6820810337875,138.380005,138.380005,138.380005,143.75,1.3020760337875004
2022-10-19,143.860001,139.6820810337875,138.380005,139.78896916314957,138.380005,138.380005,138.380005,143.860001,1.3020760337875004
2022-10-20,143.389999,139.22572862871527,138.380005,139.33226754610578,138.380005,137.92790658030088,138.380005,143.389999,0.8457236287152625
2022-10-21,147.270004,139.22572862871527,138.380005,143.10247396573362,138.380005,141.66011224947803,138.380005,147.270004,0.8457236287152625
2022-10-24,149.449997,141.28664467126865,138.380005,145.22077628837079,138.380005,143.7570637310783,138.380005,149.449997,2.9066396712686355
2022-10-25,152.339996,144.01878431670016,138.380005,148.02899245884427,138.380005,146.53697526513977,138.380005,152.339996,5.638779316700152
2022-10-26,149.350006,141.19211544295877,135.6640089253385,145.12361489035584,138.380005,143.66088164444008,138.380005,149.350006,2.8121104429587547
2022-10-27,144.800003,141.19211544295877,135.6640089253385,145.12361489035584,138.380005,139.28419991558332,138.380005,144.800003,2.8121104429587547
2022-10-28,155.740005,141.19211544295877,135.6640089253385,145.12361489035584,138.380005,149.80746921168188,138.380005,155.740005,2.8121104429587547
2022-10-31,153.339996,139.01629460750846,133.57337818215282,142.8872082468002,138.380005,147.4988827031913,138.380005,153.339996,0.636289607508445
2022-11-01,150.649994,136.57756941980992,131.2301366024625,140.38057667001112,138.380005,144.9113497710178,138.380005,150.649994,-1.8024355801900924
2022-11-14,148.279999,136.57756941980992,131.2301366024625,140.38057667001112,138.380005,142.63163395237288,138.380005,148.279999,-1.8024355801900924
2022-11-15,150.039993,136.57756941980992,131.2301366024625,140.38057667001112,138.380005,144.32458527189894,138.380005,150.039993,-1.8024355801900924
2022-11-16,148.789993,136.57756941980992,131.2301366024625,139.21105035020176,138.380005,143.12220097433453,138.380005,148.789993,-1.8024355801900924
2022-11-17,150.720001,136.57756941980992,131.2301366024625,141.01680647295586,138.380005,144.97869002503347,138.380005,150.720001,-1.8024355801900924
2022-11-18,151.289993,137.09407765648874,131.72642194963623,141.5501029898205,138.380005,145.52696956946335,138.380005,151.289993,-1.2859273435112755
2022-11-21,148.009995,137.09407765648874,128.87056617243383,138.4812677978828,138.380005,142.37191509646922,138.380005,148.009995,-1.2859273435112755
2022-11-22,150.179993,137.09407765648874,128.87056617243383,138.4812677978828,138.380005,144.45925231322613,138.380005,150.179993,-1.2859273435112755
2022-11-23,151.070007,137.90654039532615,128.87056617243383,138.4812677978828,138.380005,145.31536339979613,138.380005,151.070007,-0.47346460467386464
2022-11-25,148.110001,135.20445415653086,126.34552724069009,138.4812677978828,135.66864188289875,142.468111611719,138.380005,148.110001,-3.1755508434691535
2022-11-28,144.220001,135.20445415653086,126.34552724069009,138.4812677978828,132.1054050092154,138.72629167769855,138.380005,144.220001,-3.1755508434691535
2023-01-06,129.619995,135.20445415653086,126.34552724069009,138.4812677978828,132.1054050092154,124.68243731070163,138.380005,129.619995,-3.1755508434691535
2023-01-09,130.149994,135.20445415653086,126.34552724069009,138.4812677978828,132.1054050092154,124.68243731070163,138.380005,130.149994,-3.1755508434691535
2023-01-10,130.729996,135.20445415653086,126.34552724069009,139.0983973867271,132.1054050092154,124.68243731070163,138.380005,130.729996,-3.1755508434691535
2023-01-11,133.490005,135.20445415653086,126.34552724069009,142.03508246604846,132.1054050092154,124.68243731070163,138.380005,133.490005,-3.1755508434691535
2023-01-12,133.410004,135.12342568150027,126.34552724069009,141.94996037295718,132.1054050092154,124.68243731070163,138.380005,133.410004,-3.256579318499746
2023-01-13,134.759995,135.12342568150027,126.34552724069009,143.3863681625398,132.1054050092154,125.94411307099554,138.380005,134.759995,-3.256579318499746
2023-01-17,135.940002,136.30661501130209,126.34552724069009,144.6419107895366,132.1054050092154,127.04692503705836,138.380005,135.940002,-2.073389988697926
2023-01-18,135.210007,135.5746513070116,126.34552724069009,143.8651867192603,132.1054050092154,126.36468567647319,138.380005,135.210007,-2.8053536929884046
2023-01-19,135.270004,135.5746513070116,126.34552724069009,143.92902429903054,132.1054050092154,126.42075772479822,138.380005,135.270004,-2.8053536929884046
2023-01-20,137.869995,138.18049785689686,126.34552724069009,143.92902429903054,132.1054050092154,128.85065956983442,138.380005,137.869995,-0.19950714310314765
2023-01-23,141.110001,141.42780081167928,129.31470313957223,147.31142017351365,132.1054050092154,131.87870718897173,138.380005,141.110001,3.047795811679265
2023-01-24,142.529999,142.85099684933633,130.6160043834776,148.79382340887008,132.1054050092154,133.20581015207728,138.380005,142.529999,4.470991849336315
2023-01-25,141.860001,142.17948991845464,130.00201110263205,148.0943807315689,132.1054050092154,132.57964283981713,138.380005,141.860001,3.799484918454624
2023-01-26,143.960007,144.28422543093845,131.92647889766323,148.0943807315689,132.1054050092154,134.54226826966942,138.380005,143.960007,5.904220430938437
2023-01-27,145.929993,146.25864811987174,133.7317949842184,150.12094257189904,132.1054050092154,136.38337949509116,138.380005,145.929993,7.878643119871725
2023-01-30,143.0,143.32205635850102,131.04671829007236,147.1068033819584,132.1054050092154,133.64506409452125,138.380005,143.0,4.942051358501004
2023-01-31,144.289993,143.32205635850102,132.22888157166093,147.1068033819584,132.1054050092154,134.85066687190925,138.380005,144.289993,4.942051358501004
2023-02-02,150.820007,149.8082652429231,138.21305573311707,147.1068033819584,132.1054050092154,140.95349302273527,138.380005,150.820007,11.428260242923102
2023-02-03,154.5,153.4635718458203,141.58544039032293,150.69619458718478,132.1054050092154,144.39274407415058,138.380005,154.5,15.083566845820286
2023-02-06,151.729996,150.71214978842735,139.0469793144462,147.99438836199852,129.73690986166105,141.80395133203814,135.89901362543677,151.729996,12.332144788427343
2023-02-07,154.649994,150.71214978842735,141.7228964844712,147.99438836199852,132.23365755367462,144.53292559683445,135.89901362543677,154.649994,12.332144788427343
2023-02-08,151.919998,148.05166752501512,139.22109916457592,147.99438836199852,129.89937129313392,141.98152356608068,135.89901362543677,151.919998,9.671662525015108
2023-02-09,150.869995,148.05166752501512,138.2588652670603,147.99438836199852,129.00156500461682,141.00021085115452,135.89901362543677,150.869995,9.671662525015108
2023-02-10,151.009995,148.05166752501512,138.38716275349816,147.99438836199852,129.12127216773197,141.1310521726457,135.89901362543677,151.009995,9.671662525015108
2023-02-13,153.850006,150.83604192579162,140.98977898746813,147.99438836199852,131.54962688220206,143.78527211756978,135.89901362543677,153.850006,12.456036925791608
2023-02-14,153.199997,150.198766781479,140.39410383845404,147.99438836199852,130.99383592942124,143.17778614227595,135.89901362543677,153.199997,11.818761781478997
2023-02-15,155.330002,152.2870443957298,142.34606303559704,147.99438836199852,132.81509918635751,145.16844806358122,135.89901362543677,155.330002,13.907039395729782
2023-02-16,153.710007,150.6987855448359,140.8614824174409,147.99438836199852,131.42992057413807,143.6544317306595,135.89901362543677,153.710007,12.318780544835903
2023-02-17,152.550003,150.6987855448359,139.79844243559924,147.99438836199852,130.4380578024079,142.57031418569517,135.89901362543677,152.550003,12.318780544835903
2023-02-21,148.479996,150.6987855448359,136.06864480785364,147.99438836199852,126.95799357505942,138.76656351170809,135.89901362543677,148.479996,12.318780544835903
2023-03-06,153.830002,150.6987855448359,136.06864480785364,147.99438836199852,131.53252243869525,143.76657676189043,135.89901362543677,153.830002,12.318780544835903
2023-03-07,151.600006,148.5141812114768,134.09612625034276,147.99438836199852,129.62576176070863,143.76657676189043,135.89901362543677,151.600006,10.134176211476785
2023-03-08,152.869995,148.5141812114768,135.21948112198137,147.99438836199852,130.7116673348332,144.97094327791322,135.89901362543677,152.869995,10.134176211476785
2023-03-09,150.589996,146.29914755069868,133.2027329580357,147.99438836199852,128.76215153343773,142.8087556903314,135.89901362543677,150.589996,7.919142550698666
2023-03-10,148.5,146.29914755069868,133.2027329580357,147.99438836199852,126.97509801856626,140.82675332572697,135.89901362543677,148.5,7.919142550698666
2023-03-13,150.470001,146.29914755069868,133.2027329580357,147.99438836199852,128.65954966888054,140.82675332572697,135.89901362543677,150.470001,7.919142550698666
2023-03-14,152.589996,148.36037875459655,133.2027329580357,147.99438836199852,130.4722538636541,140.82675332572697,135.89901362543677,152.589996,9.980373754596542
2023-03-15,152.990005,148.74929997027866,133.55191896894436,147.99438836199852,130.81428202515784,140.82675332572697,135.89901362543677,152.990005,10.369294970278645
2023-03-16,155.850006,151.53002506839402,136.04854364585123,147.99438836199852,133.25972921241845,143.45937403410812,135.89901362543677,155.850006,13.150020068394014
2023-03-17,155.0,150.70358024625983,135.30653483007845,147.1872269039872,132.53293059176949,142.67694654619876,135.1578203464599,155.0,12.323575246259821
2023-03-20,157.399994,150.70358024625983,137.40159851880736,149.46624923589823,134.58504825772215,144.88613245361293,137.2505813650701,157.399994,12.323575246259821
2023-03-21,159.279999,152.50360245198414,139.04274020921525,151.25149260696682,136.19254872338138,146.61667034323608,138.8899192879117,159.279999,14.123597451984125
2023-03-22,157.830002,151.1152940175738,137.77697201835068,149.87458268794038,134.952727099128,145.2819532821964,137.62554229417682,157.830002,12.735289017573791
2023-03-23,158.929993,151.1152940175738,138.73720408644274,149.87458268794038,135.8932756852865,146.2944910699919,137.62554229417682,158.929993,12.735289017573791
2023-03-24,160.25,152.37039534958137,139.88949810658113,151.11937918315044,137.02194920858747,147.50955280018292,138.76860330977198,160.25,13.99039034958136
2023-03-27,158.279999,150.4972606774499,138.16979482321474,149.2616236255206,135.33749755827318,145.69617391390577,137.06267952013795,158.279999,12.11725567744989
2023-03-28,157.649994,150.4972606774499,137.61983486530747,149.2616236255206,134.7988110489992,145.11625656094552,137.06267952013795,157.649994,12.11725567744989
2023-03-29,160.770004,150.4972606774499,140.34343319908294,149.2616236255206,137.4665792346484,147.9882146254204,137.06267952013795,160.770004,12.11725567744989
